,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
std,0.07508286584746593,0.0882518069590101,0.09360417409995513,0.10541245629075927,0.12014369676841871,0.14725306640313926,0.2395755763057403,0.33879050254292015,0.6136383225219723,0.15010978204228964,0.17661461105314116,0.18717187674372907,0.21082336606650617,0.24025222596014056,0.2945073001870828,0.47904670685859957,0.6776186233895134,1.227271823951935,0.045102130464982966,0.05103480824211053,0.05330047713550485,0.05828616703649217,0.06425110818337307,0.07467413776668626,0.1066941061663526,0.13586391596015918,0.1971690373204671,3.6980761705405176,0.015473608694217008,0.019048387472227042,0.027123139157852076,0.03236746483336636,0.03634300285239437,0.04050001046096095,0.04279069720580232,1.605412055591632,strahler2
min,0.008,0.01,0.01,0.012,0.013999999999999999,0.019,0.036000000000000004,0.059000000000000004,0.136,1.015,1.0190000000000001,1.021,1.024,1.0290000000000001,1.038,1.073,1.1179999999999999,1.272,-0.006,0.002,0.002,0.003,0.003,0.004,0.005,0.006999999999999999,0.013000000000000001,-60.901,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,strahler2
1%,0.008910000000000001,0.010910000000000001,0.01191,0.013909999999999999,0.01591,0.02091,0.03982,0.06564,0.15245999999999998,1.0169100000000002,1.02182,1.02291,1.02691,1.03182,1.04173,1.08055,1.13046,1.3058299999999998,-0.0010899999999999998,0.004,0.005,0.005,0.006,0.006999999999999999,0.01,0.013999999999999999,0.021,-0.21838999999999986,0.00191,0.002,0.003,0.00391,0.004,0.00491,0.005,0.00591,strahler2
5%,0.012550000000000002,0.016100000000000003,0.017550000000000003,0.0201,0.024100000000000003,0.031650000000000005,0.0631,0.1023,0.23375,1.0256500000000002,1.03265,1.0352,1.0412,1.0482,1.06275,1.1261999999999999,1.2046000000000001,1.4674999999999998,0.005,0.008,0.008,0.009000000000000001,0.01,0.012,0.017,0.021,0.035,0.002,0.002,0.003,0.004550000000000001,0.005,0.006,0.006,0.006999999999999999,0.008,strahler2
25%,0.032,0.04,0.04375,0.051,0.06075,0.078,0.151,0.24575000000000002,0.556,1.064,1.081,1.087,1.1025,1.1215000000000002,1.15675,1.30175,1.4925,2.112,0.017,0.021,0.022000000000000002,0.02475,0.027999999999999997,0.03275,0.051750000000000004,0.067,0.11275,0.003,0.005,0.006,0.009000000000000001,0.010750000000000001,0.011750000000000002,0.013000000000000001,0.013000000000000001,0.015,strahler2
50%,0.077,0.095,0.10099999999999999,0.1165,0.1345,0.16949999999999998,0.3135,0.4755,0.9410000000000001,1.1540000000000001,1.1895,1.2025000000000001,1.233,1.2690000000000001,1.3385,1.6275,1.9505,2.8810000000000002,0.03,0.035,0.037000000000000005,0.040999999999999995,0.0465,0.055,0.083,0.108,0.171,0.0065,0.01,0.013000000000000001,0.02,0.024,0.027000000000000003,0.03,0.032,0.037000000000000005,strahler2
75%,0.15925,0.19025000000000003,0.20325,0.22825,0.2605,0.327,0.56225,0.8027500000000001,1.52625,1.3179999999999998,1.3815,1.40625,1.45675,1.5210000000000001,1.6542500000000002,2.1254999999999997,2.6054999999999997,4.05275,0.07525,0.08449999999999999,0.0885,0.09625,0.1055,0.12225,0.18,0.23224999999999998,0.34199999999999997,0.01,0.016,0.02125,0.033,0.04,0.04425,0.05,0.053,0.06425,strahler2
95%,0.22989999999999997,0.27390000000000003,0.29179999999999995,0.33045,0.376,0.4610000000000001,0.7641499999999999,1.1272499999999999,2.0921499999999984,1.4602500000000003,1.54825,1.5831499999999998,1.6614499999999999,1.7530000000000001,1.92245,2.5284,3.2544999999999997,5.183849999999996,0.147,0.16834999999999994,0.17579999999999996,0.19269999999999993,0.2125999999999999,0.24739999999999984,0.3517499999999998,0.44514999999999993,0.6668999999999998,0.028999999999999998,0.049449999999999994,0.06044999999999999,0.083,0.10144999999999998,0.11244999999999998,0.12434999999999997,0.13189999999999996,0.20324999999999993,strahler2
99%,0.2696299999999998,0.31462999999999985,0.33280999999999983,0.37489999999999973,0.42607999999999974,0.5213499999999996,0.8549799999999994,1.2673299999999992,2.4576699999999936,1.5391699999999997,1.6284399999999994,1.6655299999999997,1.7487999999999995,1.8530699999999996,2.0436099999999993,2.710779999999999,3.5346599999999984,5.914429999999987,0.18116999999999966,0.20734999999999965,0.21743999999999963,0.2375299999999996,0.2617999999999995,0.30506999999999945,0.43414999999999915,0.5502299999999989,0.829419999999999,0.05126999999999992,0.08308999999999998,0.09108999999999998,0.11916999999999968,0.14407999999999974,0.16380999999999976,0.1853599999999999,0.1972699999999999,6.527959999999879,strahler2
max,0.322,0.379,0.40299999999999997,0.456,0.523,0.65,1.11,1.6230000000000002,3.02,1.643,1.758,1.805,1.912,2.046,2.3,3.22,4.246,7.04,0.201,0.23,0.24,0.263,0.29100000000000004,0.33899999999999997,0.485,0.617,0.899,0.062,0.085,0.114,0.174,0.207,0.23,0.254,0.268,20.029,strahler2
